OptiLayer Substrate/Incident/Exit Medium Report, version: 15.12
15.01.2023 17:25:26
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Substrate/Incident/Exit Medium file: B 270 actual
Comment: valid range: 300 nm to 2500 nm

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
 1028.0000    1.512829    0.0000000000
 1029.0000    1.512816    0.0000000000
 1030.0000    1.512803    0.0000000000
 1031.0000    1.512790    0.0000000000
 1032.0000    1.512777    0.0000000000
 1033.0000    1.512764    0.0000000000
 1034.0000    1.512751    0.0000000000
 1035.0000    1.512738    0.0000000000
 1036.0000    1.512725    0.0000000000
 1037.0000    1.512712    0.0000000000
 1038.0000    1.512699    0.0000000000
 1039.0000    1.512686    0.0000000000
 1040.0000    1.512673    0.0000000000
 1041.0000    1.512660    0.0000000000
 1042.0000    1.512647    0.0000000000
 1043.0000    1.512634    0.0000000000
 1044.0000    1.512621    0.0000000000
 1045.0000    1.512608    0.0000000000
 1046.0000    1.512596    0.0000000000
 1047.0000    1.512583    0.0000000000
 1048.0000    1.512570    0.0000000000
 1049.0000    1.512557    0.0000000000
 1050.0000    1.512544    0.0000000000
 1051.0000    1.512532    0.0000000000
 1052.0000    1.512519    0.0000000000
 1053.0000    1.512506    0.0000000000
 1054.0000    1.512493    0.0000000000
 1055.0000    1.512481    0.0000000000
 1056.0000    1.512468    0.0000000000
 1057.0000    1.512455    0.0000000000
 1058.0000    1.512443    0.0000000000
 1059.0000    1.512430    0.0000000000
 1060.0000    1.512417    0.0000000000
 1061.0000    1.512405    0.0000000000
 1062.0000    1.512392    0.0000000000
 1063.0000    1.512379    0.0000000000
 1064.0000    1.512367    0.0000000000
 1065.0000    1.512354    0.0000000000
 1066.0000    1.512342    0.0000000000
 1067.0000    1.512329    0.0000000000
 1068.0000    1.512317    0.0000000000
 1069.0000    1.512304    0.0000000000
 1070.0000    1.512292    0.0000000000
 1071.0000    1.512279    0.0000000000
 1072.0000    1.512267    0.0000000000
 1073.0000    1.512254    0.0000000000
 1074.0000    1.512242    0.0000000000
 1075.0000    1.512229    0.0000000000
